country,city,population,id,avg-temp
Spain,Eivissa,null,2181,64.88
United States of America,Cleveland-Mississippi,367991,1971,63.03
Sri Lanka,Jaffna,null,341,82.51
Panama,Panama City,null,1221,80.44
United States of America,Goodland-Kansas,null,762,51.30
Zimbabwe,Gokwe,null,955,68.93
Ethiopia,Lalibela,null,1922,64.96
Azerbaijan,Ganja,334813,19,56.38
United States of America,Phoenix-Arizona,1624569,806,75.05
Guatemala,Guatemala City,null,906,67.73
Russian Federation,Kaluga,344766,990,39.99
Botswana,Sir Seretse Khama Airport,null,1547,69.47
Canada,Red Deer-Alberta,105415,624,36.23
Dominican Republic,Santiago,null,598,78.57
South Africa,Pretoria,741651,2991,65.66
Ghana,Akim Oda,null,2967,80.95
Guinea,Conakry,1879695,245,80.97
Ukraine,Odesa,null,2937,52.66
United Kingdom of Great Britain and Northern Ireland,Southampton,253651,1909,52.47
Spain,Jerez de la Frontera,212953,2186,64.61
Syrian Arab Republic,Palmyra,null,1264,66.33
Venezuela-Bolivarian Republic of,San Fernando,null,1203,82.08
Sudan,Nyala,null,1539,81.98
Italy,Alghero,null,2070,60.64
Mozambique,Beira,397368,124,75.99
Serbia,Novi Sad,362675,1390,52.00
Russian Federation,Tambov,281348,997,42.04
Colombia,Bogota,null,157,53.09
Libya (State of),Benghazi,null,1182,68.25
United States of America,Reno-Nevada,268851,815,52.87
United States of America,Tampa-Florida,387050,853,73.37
Myanmar,Homalin,null,2141,76.00
United Kingdom of Great Britain and Northern Ireland,Hamilton,null,1377,71.60
France,Ajaccio,null,1753,59.05
Mongolia,Baruun-Urt,null,1153,35.03
United Republic of Tanzania,Mwanza,2772509,669,72.98
Belgium,Virton,null,947,48.70
Australia,Onslow,null,1216,77.49
United States of America,Newark-New Jersey,307220,796,54.81
Spain,Madrid,3320069,195,59.07
United Republic of Tanzania,Tabora,null,670,74.26
Guinea,N'Zerekore,null,934,76.03
Indonesia,Pontianak,234021,653,81.98
Mongolia,Khanbogd,null,1156,46.08
Lao People's Democratic Republic,Savannakhet,null,645,79.05
Canada,Saskatoon-Saskatchewan,282227,628,35.99
Democratic People's Republic of Korea,Pyongyang,2581076,230,51.14
Iraq,Karbala,null,1465,75.33
United Kingdom of Great Britain and Northern Ireland,Cardiff,335145,36,51.48
Iran (Islamic Republic of),Ghazvin,null,1447,57.07
Russian Federation,Izhevsk,631182,1002,36.84
Dominican Republic,Barahona,null,592,79.59
Guinea,Faranah,null,930,77.44
Syrian Arab Republic,Dara'a,null,1266,63.44
United States of America,Washington DC,670050,270,55.20
Costa Rica,Puntarenas,143875,1128,82.20
Argentina,El Calafate,null,2205,44.03
Australia,Nhulunbuy,null,469,79.85
United States of America,Salem-Oregon,177723,822,52.99
Malawi,Mzuzu,null,262,64.73
Romania,Rm. Valcea,null,2095,52.55
Bahrain,Bahrain/Manama,null,220,79.75
United States of America,Caribou-Maine,null,730,39.73
Sudan,Khartoum,null,249,85.86
Czechia,Pilsen,175219,2161,48.73
Myanmar,Thandwe,null,2159,78.92
China,Yichang,712738,1867,63.25
Australia,Longreach,null,441,74.85
Germany,Frankfurt,null,57,50.12
Croatia,Zagreb,790017,70,50.98
Greece,Larissa,144651,2284,59.03
Australia,Victor Harbor,null,503,60.45
Luxembourg,Luxembourg,null,192,48.82
Ukraine,Dnipro,null,2934,49.70
Mongolia,Choir,null,1150,34.69
Russian Federation,Vologda,313679,980,36.97
Slovakia,Tisinec,null,1229,48.54
United States of America,Columbia-Missouri,104681,1973,55.90
El Salvador,Acajutla,null,1187,82.45
Republic of Moldova,Chisinau,339079,208,49.93
Mexico,Veracruz,962097,1302,77.38
